               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.040828,            0.017096,            0.073264,            0.022367,             0.77429,            0.064771,            0.043446,           0.0083097,            0.002372,            0.027222,            0.070061,           0.0033265,           0.0033265
                   1,            0.025461,             0.01019,            0.060258,              0.5494,             0.34662,             0.20449,             0.14082,           0.0090044,            0.002295,            0.020238,            0.039622,           0.0062203,           0.0062203
                   2,            0.025244,           0.0094775,             0.05345,             0.50134,             0.46091,             0.36246,             0.26753,           0.0069548,           0.0022405,            0.015675,            0.008742,           0.0086741,           0.0086741
                   3,            0.022068,           0.0090482,            0.045915,             0.77921,             0.60217,             0.59891,             0.49432,           0.0046489,           0.0018093,           0.0088413,             0.00802,             0.00802,             0.00802
                   4,            0.019621,           0.0084658,            0.039763,             0.81453,             0.68128,             0.76651,             0.65057,           0.0052907,           0.0018237,           0.0059613,             0.00802,             0.00802,             0.00802
                   5,            0.019167,           0.0082533,            0.037526,             0.79985,             0.86938,             0.87828,             0.77408,            0.003821,           0.0017475,           0.0034682,             0.00736,             0.00736,             0.00736
                   6,            0.018146,           0.0079468,            0.035244,             0.86379,             0.92191,             0.90673,             0.79848,           0.0039049,           0.0018371,           0.0025158,              0.0067,              0.0067,              0.0067
                   7,             0.01704,           0.0077643,            0.032877,             0.89523,             0.93066,             0.91469,             0.81144,           0.0036475,           0.0016747,           0.0019096,             0.00604,             0.00604,             0.00604
                   8,            0.016662,           0.0075305,            0.032414,             0.90334,             0.95064,             0.92269,             0.80517,           0.0038932,           0.0017804,           0.0015738,             0.00538,             0.00538,             0.00538
                   9,            0.015256,            0.007356,            0.029354,             0.88444,             0.95245,             0.92208,             0.83456,           0.0032938,           0.0017569,           0.0016451,             0.00472,             0.00472,             0.00472
                  10,             0.01512,           0.0072689,            0.028799,             0.88078,             0.95441,             0.92883,             0.83748,            0.003293,           0.0017254,           0.0016633,             0.00406,             0.00406,             0.00406
                  11,            0.014604,           0.0070684,            0.028914,             0.89908,             0.98031,             0.94214,             0.85573,           0.0030835,           0.0016577,           0.0010912,              0.0034,              0.0034,              0.0034
                  12,            0.013876,           0.0069886,            0.028839,             0.90586,             0.97836,             0.94488,             0.86342,           0.0030399,           0.0016639,          0.00099085,             0.00274,             0.00274,             0.00274
                  13,            0.012874,           0.0067602,            0.026185,             0.90793,             0.98157,             0.94859,             0.87347,           0.0028696,           0.0016879,          0.00095062,             0.00208,             0.00208,             0.00208
                  14,             0.01224,           0.0065684,             0.02547,             0.92102,             0.98679,             0.95644,             0.88755,           0.0027126,           0.0016485,          0.00079143,             0.00142,             0.00142,             0.00142
